   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   13.250     0.000   1.118495   0.061138   0.016788   0.077926   0.000000  -0.000000   0.146634   0.000000   0.000000   28.0000     0.1013
   13.500     0.000   1.135074   0.063022   0.017371   0.080392   0.000000  -0.000000   0.148839   0.000000   0.000000   28.0000     0.1011
   13.750     0.000   1.151029   0.064882   0.017999   0.082881   0.000000  -0.000000   0.150981   0.000000   0.000000   28.0000     0.1009
   14.000     0.000   1.165910   0.066681   0.018731   0.085412   0.000000  -0.000000   0.152980   0.000000   0.000000   28.0000     0.1007
   14.250     0.000   1.179228   0.068351   0.019569   0.087920   0.000000  -0.000000   0.154813   0.000000   0.000000   28.0000     0.1005
   14.500     0.000   1.190698   0.069907   0.020526   0.090432   0.000000  -0.000000   0.156441   0.000000   0.000000   28.0000     0.1003
   14.750     0.000   1.200898   0.071370   0.021642   0.093012   0.000000  -0.000000   0.157827  -0.000000  -0.000000   28.0000     0.1001
   15.000     0.000   1.209424   0.072667   0.022975   0.095642   0.000000  -0.000000   0.158941   0.000000   0.000000   28.0000     0.0999
   15.250     0.000   1.216556   0.073867   0.024524   0.098392   0.000000  -0.000000   0.159742   0.000000  -0.000000   28.0000     0.0998
   15.500     0.000   1.222018   0.074946   0.026332   0.101278   0.000000  -0.000000   0.160179   0.000000   0.000000   28.0000     0.0997
   15.750     0.000   1.225209   0.075793   0.028495   0.104288   0.000000  -0.000000   0.160202   0.000000   0.000000   28.0000     0.0996
   16.000     0.000   1.226224   0.076470   0.031042   0.107512   0.000000  -0.000000   0.159718   0.000000   0.000000   28.0000     0.0997


